"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"39","147.3159730991569","167.78896705595793","0.0162353515625","0.01904296875","0.013427734375","1560","0.0004756567582681275","24","0.0004756567582681275","0","0.0004756567582681275","0.0004756567582681275","53:68;33:68","53:0.0064091834423312954;33:0.00178297557891835","53:0.004165870925442072;33:0.001571673315942268","0.0162353515625","Yes"
"40","200.14245373597385","153.05317716305953","0.027587890625","0.03271484375","0.0224609375","1560","0.00020257434140109914","24","0.00020257434140109914","0","0.00020257434140109914","0.00020257434140109914","41:68","41:0.0020228511903007673","41:0.002385604450271722","0.027587890625","Yes"
"41","204.14078997521585","121.2417710950527","0.093505859375","0.13671875","0.05029296875","1560","0.00017392478307875003","24","0.00017392478307875003","0","0.00017392478307875003","0.00017392478307875003","40:68;42:68;36:68","40:0.0020228511903007673;42:0.00198276090690383;36:0.001961808582244484","40:0.002385604450271722;42:0.002310835358779628;36:0.0019431794591155405","0.093505859375","Yes"
"42","174.74516613282583","45.81347559174665","0.015625","0.018798828125","0.012451171875","1560","0.00025620310231102216","24","0.00025620310231102216","0","0.00025620310231102216","0.00025620310231102216","41:68;43:68","41:0.00198276090690383;43:0.006182428979591231","41:0.002310835358779628;43:0.0068419711379038295","0.015625","Yes"
"43","174.74951926786412","72.3500748603273","0.124267578125","0.11962890625","0.12890625","1560","0.0010491410815850557","24","0.0010491410815850557","0","0.0010491410815850557","0.0010491410815850557","42:68;56:68;44:68","42:0.006182428979591231;56:0.005217206013897663;44:0.022323776744951285","42:0.0068419711379038295;56:0.00498499796867366;44:0.029679789047611538","0.124267578125","Yes"
"44","102.57987331416045","117.7826556450421","0.0059814453125","0.00830078125","0.00244140625","1560","0.00041199692155281066","24","0.00041199692155281066","0","0.00041199692155281066","0.00041199692155281066","45:68;43:68","45:0.0019615272499761693;43:0.022323776744951285","45:0.002276570088315777;43:0.029679789047611538","0.0059814453125","Yes"
"45","54.22386423534043","63.97995845643816","0.0447998046875","0.047607421875","0.0419921875","1560","0.00013847613166453773","24","0.00013847613166453773","0","0.00013847613166453773","0.00013847613166453773","44:68;46:68;37:68","44:0.0019615272499761693;46:0.003082749073936436;37:0.0018036451806945075","44:0.002276570088315777;46:0.0027613570932090714;37:0.0021134837138650497","0.0447998046875","Yes"
"46","187.5265577781984","13.89592824779625","0.006591796875","0.00927734375","0.00390625","1560","0.0003839571244383833","24","0.0003839571244383833","0","0.0003839571244383833","0.0003839571244383833","45:68;47:68","45:0.003082749073936436;47:0.003136610826764863","45:0.0027613570932090714;47:0.0027885534408166046","0.006591796875","Yes"
"47","154.2741641527533","53.33424351122047","0.026123046875","0.030029296875","0.022216796875","1560","0.0002614329371852606","24","0.0002614329371852606","0","0.0002614329371852606","0.0002614329371852606","48:68;57:68;46:68","48:0.0025229026600091242;57:0.004794795456328521;46:0.003136610826764863","48:0.0015369327436947355;57:0.0023031667258270605;46:0.0027885534408166046","0.026123046875","Yes"
"48","129.6388122062393","53.736239678951","0.0072021484375","0.009033203125","0.00537109375","1560","0.0003463123263690928","24","0.0003463123263690928","0","0.0003463123263690928","0.0003463123263690928","47:68;49:68","47:0.0025229026600091242;49:0.006645877751807472","47:0.0015369327436947355;49:0.00600990728537551","0.0072021484375","Yes"
"49","148.3638786309187","27.766069484402593","0.04736328125","0.047607421875","0.047119140625","1560","0.0005516530036051227","24","0.0005516530036051227","0","0.0005516530036051227","0.0005516530036051227","48:68;50:68;38:68","48:0.006645877751807472;50:0.00580340549779354;38:0.006798103785841975","48:0.00600990728537551;50:0.0036909406119823296;38:0.006094460192127477","0.04736328125","Yes"
