"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"47","220.11570340093425","112.26747176098331","0.0068359375","0.011962890625","0.001708984375","2584","0.0003348829884079823","36","0.0003348829884079823","0","0.0003348829884079823","0.0003348829884079823","48:0.01068334066950355;57:0.0016837470588858539;46:0.0018289788213773361","48:68;57:68;46:68","48:0.006469522440061326;57:0.0017900592404006543;46:0.0011537003904164567","0.0068359375","Yes"
"48","210.48684997323636","236.5167069281813","0.04248046875","0.059326171875","0.025634765625","2584","0.0038567544490158085","36","0.0038567544490158085","0","0.0038567544490158085","0.0038567544490158085","47:0.01068334066950355;49:0.010325873063205926","47:68;49:68","47:0.006469522440061326;49:0.006648610203810468","0.04248046875","Yes"
"49","88.42053420285588","23.919477989424845","0.0213623046875","0.039306640625","0.00341796875","2584","0.0006433050696828398","36","0.0006433050696828398","0","0.0006433050696828398","0.0006433050696828398","48:0.010325873063205926;50:0.002889836760572473;38:0.0029995180495741014","48:68;50:68;38:68","48:0.006648610203810468;50:0.004659096717751138;38:0.0021689339653485074","0.0213623046875","Yes"
"50","170.29926176737857","136.2852780140083","0.014404296875","0.02490234375","0.00390625","2584","0.0004768448419267179","36","0.0004768448419267179","0","0.0004768448419267179","0.0004768448419267179","49:0.002889836760572473;51:0.002176975138959064","49:68;51:68","49:0.004659096717751138;51:0.005132883852691533","0.014404296875","Yes"
"51","161.52404893711937","161.09608956559043","0.0655517578125","0.077392578125","0.0537109375","2584","0.000466981679106496","36","0.000466981679106496","0","0.000466981679106496","0.000466981679106496","50:0.002176975138959064;52:0.004110187729924886;58:0.002363318262049524","50:68;52:68;58:68","50:0.005132883852691533;52:0.0015455399669740966;58:0.003927530176708133","0.0655517578125","Yes"
"52","144.85687159549448","97.54173826150826","0.0086669921875","0.012451171875","0.0048828125","2584","0.0007067428109959952","36","0.0007067428109959952","0","0.0007067428109959952","0.0007067428109959952","51:0.004110187729924886;53:0.0038529726689517374","51:68;53:68","51:0.0015455399669740966;53:0.0014639745228086087","0.0086669921875","Yes"
"53","161.80549999686232","118.50539319130732","0.0137939453125","0.0185546875","0.009033203125","2584","0.00019090269570710405","36","0.00019090269570710405","0","0.00019090269570710405","0.00019090269570710405","39:0.0016385838301681;52:0.0038529726689517374;54:0.0011713855372772475","39:68;52:68;54:68","39:0.0018984382036149883;52:0.0014639745228086087;54:0.0008320647834127726","0.0137939453125","Yes"
"54","262.1768951661876","308.63598646929927","0.0037841796875","0.003662109375","0.00390625","2584","0.00020075375700289854","36","0.00020075375700289854","0","0.00020075375700289854","0.00020075375700289854","53:0.0011713855372772475;55:0.0014666406735532878","53:68;55:68","53:0.0008320647834127726;55:0.0013437260061311684","0.0037841796875","Yes"
"55","226.2150762512985","74.24696562598479","0.0233154296875","0.02294921875","0.023681640625","2584","0.00019539492756330643","36","0.00019539492756330643","0","0.00019539492756330643","0.00019539492756330643","59:0.002581666034879887;54:0.0014666406735532878","59:68;54:68","59:0.0022558062782870036;54:0.0013437260061311684","0.0233154296875","Yes"
"56","231.36463851427055","104.6556793250344","0.01171875","0.014404296875","0.009033203125","2584","0.0005558705657779698","36","0.0005558705657779698","0","0.0005558705657779698","0.0005558705657779698","63:0.003948789236183942;43:0.0021073729687753617","63:68;43:68","63:0.003004445665815647;43:0.0018883385773990624","0.01171875","Yes"
"57","138.04829131947528","69.84851552118467","0.01953125","0.03759765625","0.00146484375","2584","0.0007473317613197067","36","0.0007473317613197067","0","0.0007473317613197067","0.0007473317613197067","47:0.0016837470588858539;67:0.002639218271776572","47:68;67:68","47:0.0017900592404006543;67:0.00323637371993718","0.01953125","Yes"
"58","173.47178855144355","173.36225405116906","0.03125","0.041259765625","0.021240234375","2584","0.0002276262042612786","36","0.0002276262042612786","0","0.0002276262042612786","0.0002276262042612786","71:0.0024862194304152707;51:0.002363318262049524","71:68;51:68","71:0.0037670107363546868;51:0.003927530176708133","0.03125","Yes"
"59","122.94022798846834","155.34344475712683","0.0155029296875","0.025390625","0.005615234375","2584","0.00022184367858378467","36","0.00022184367858378467","0","0.00022184367858378467","0.00022184367858378467","55:0.002581666034879887;75:0.0021085957284661117","55:68;75:68","55:0.0022558062782870036;75:0.001783625006540196","0.0155029296875","Yes"
"60","210.77446295430676","161.1491276092351","0.077392578125","0.04833984375","0.1064453125","2584","0.0002488921814659634","36","0.0002488921814659634","0","0.0002488921814659634","0.0002488921814659634","61:0.006854757184391075","61:80","61:0.02447163941468053","0.077392578125","Yes"
"61","182.77961911642802","205.9901857509638","0.0120849609375","0.01171875","0.00146484375","2584","0.00019675202075744236","36","0.00019675202075744236","0","0.00019675202075744236","0.00019675202075744236","76:0.0030057423278726236;60:0.006854757184391075;62:0.0020287218495758097","76:68;60:80;62:68","76:0.0021433625694948777;60:0.02447163941468053;62:0.0026732088018474875","0.0120849609375","Yes"
"62","156.26827829110587","58.398907859019836","0.1142578125","0.2080078125","0.0205078125","2584","0.0005293479593630335","36","0.0005293479593630335","0","0.0005293479593630335","0.0005293479593630335","61:0.0020287218495758097;63:0.00359552865080337","61:68;63:68","61:0.0026732088018474875;63:0.0018377696599538307","0.1142578125","Yes"
"63","185.93387231369684","177.1468134814575","0.027099609375","0.048828125","0.00537109375","2584","0.00022485829082325082","36","0.00022485829082325082","0","0.00022485829082325082","0.00022485829082325082","56:0.003948789236183942;62:0.00359552865080337;64:0.004059052297964438","56:68;62:68;64:68","56:0.003004445665815647;62:0.0018377696599538307;64:0.002132068590419256","0.027099609375","Yes"
"64","195.34517399024963","108.12850100213494","0.010498046875","0.018310546875","0.002685546875","2584","0.0008295200770036623","36","0.0008295200770036623","0","0.0008295200770036623","0.0008295200770036623","65:0.0038134523720257385;63:0.004059052297964438","65:68;63:68","65:0.005367304339904233;63:0.002132068590419256","0.010498046875","Yes"
"65","248.48616270698875","71.22582887423125","0.257080078125","0.4697265625","0.04443359375","2584","0.00037932931632488797","36","0.00037932931632488797","0","0.00037932931632488797","0.00037932931632488797","64:0.0038134523720257385;66:0.002334331979438359;77:0.002814643750223861","64:68;66:68;77:68","64:0.005367304339904233;66:0.00225676323278981;77:0.002609812959520924","0.257080078125","Yes"
"66","138.7813405819239","52.1863440733817","0.0086669921875","0.016357421875","0.0009765625","2584","0.00028850921580227665","36","0.00028850921580227665","0","0.00028850921580227665","0.00028850921580227665","65:0.002334331979438359;67:0.0022658521371061446","65:68;67:68","65:0.00225676323278981;67:0.002076791157156782","0.0086669921875","Yes"
"67","161.44319822521825","85.82019992127208","0.0357666015625","0.033447265625","0.0380859375","2584","0.0002688307238501977","36","0.0002688307238501977","0","0.0002688307238501977","0.0002688307238501977","68:0.003167252827986994;57:0.002639218271776572;66:0.0022658521371061446","68:68;57:68;66:68","68:0.00273441421309345;57:0.00323637371993718;66:0.002076791157156782","0.0357666015625","Yes"
"68","132.57458950891225","35.86806252729747","0.0086669921875","0.0166015625","0.000732421875","2584","0.0005048012868391292","36","0.0005048012868391292","0","0.0005048012868391292","0.0005048012868391292","67:0.003167252827986994;69:0.0027643065632048103","67:68;69:68","67:0.00273441421309345;69:0.002493988001808861","0.0086669921875","Yes"
"69","84.57949017143805","43.06078974934736","0.028564453125","0.038818359375","0.018310546875","2584","0.00022699543932358596","36","0.00022699543932358596","0","0.00022699543932358596","0.00022699543932358596","78:0.00209440508460354;68:0.0027643065632048103;70:0.0020619973532260694","78:68;68:68;70:80","78:0.0020285204666986023;68:0.002493988001808861;70:0.0018995514048410211","0.028564453125","Yes"
"70","168.821022543653","22.150585018793045","0.0086669921875","0.014892578125","0.00244140625","2584","0.00021672933554371258","36","0.00021672933554371258","0","0.00021672933554371258","0.00021672933554371258","69:0.0020619973532260694;71:0.0019339203183672549","69:80;71:68","69:0.0018995514048410211;71:0.0015729271321794358","0.0086669921875","Yes"
"71","130.54716607745308","123.24405144023483","0.008544921875","0.016845703125","0.000244140625","2584","0.00021692478298935555","36","0.00021692478298935555","0","0.00021692478298935555","0.00021692478298935555","72:0.0035392393152950674;58:0.0024862194304152707;70:0.0019339203183672549","72:68;58:68;70:68","72:0.002198704342255997;58:0.0037670107363546868;70:0.0015729271321794358","0.008544921875","Yes"
"72","139.1681235531943","47.60115566624453","0.0076904296875","0.013916015625","0.00146484375","2584","0.0006305684427351276","36","0.0006305684427351276","0","0.0006305684427351276","0.0006305684427351276","73:0.0037611401406064116;71:0.0035392393152950674","73:68;71:68","73:0.011452992337946333;71:0.002198704342255997","0.0076904296875","Yes"
"73","173.73014030473976","129.51714767575413","0.0196533203125","0.03759765625","0.001708984375","2584","0.00032687591963846506","36","0.00032687591963846506","0","0.00032687591963846506","0.00032687591963846506","72:0.0037611401406064116;74:0.00227185375322006;79:0.005022166326242139","72:68;74:68;79:68","72:0.011452992337946333;74:0.0028221179853008815;79:0.0021150261973271745","0.0196533203125","Yes"
"74","83.09559470762187","10.705354652120894","0.0257568359375","0.045654296875","0.005859375","2584","0.0004128255340011676","36","0.0004128255340011676","0","0.0004128255340011676","0.0004128255340011676","73:0.00227185375322006;75:0.0018587070859652777","73:68;75:68","73:0.0028221179853008815;75:0.0015423355701135733","0.0257568359375","Yes"
"75","261.87937179276184","289.68217123184627","0.007568359375","0.013671875","0.00146484375","2584","0.0002616853414583009","36","0.0002616853414583009","0","0.0002616853414583009","0.0002616853414583009","59:0.0021085957284661117;74:0.0018587070859652777","59:68;74:68","59:0.001783625006540196;74:0.0015423355701135733","0.007568359375","Yes"
"76","120.82274931870269","24.08925875778004","0.0118408203125","0.013671875","0.010009765625","2584","0.00047783386910094967","36","0.00047783386910094967","0","0.00047783386910094967","0.00047783386910094967","81:0.0048095037401196805;61:0.0030057423278726236","81:68;61:68","81:0.009487865116509148;61:0.0021433625694948777","0.0118408203125","Yes"
"77","141.15133085628193","87.01733151744527","0.0072021484375","0.013427734375","0.0009765625","2584","0.00040190848585875484","36","0.00040190848585875484","0","0.00040190848585875484","0.00040190848585875484","85:0.002683486733293161;65:0.002814643750223861","85:68;65:68","85:0.002726342668366938;65:0.002609812959520924","0.0072021484375","Yes"
"78","118.62348320331255","105.92016684631055","0.007568359375","0.01513671875","0.005126953125","2584","0.00021540873758510798","36","0.00021540873758510798","0","0.00021540873758510798","0.00021540873758510798","69:0.00209440508460354;89:0.0014596012793250956","69:68;89:68","69:0.0020285204666986023;89:0.0021863954004498476","0.007568359375","Yes"
"79","127.01866939116759","30.056284721151314","0.0811767578125","0.098876953125","0.0634765625","2584","0.0006665502743436955","36","0.0006665502743436955","0","0.0006665502743436955","0.0006665502743436955","93:0.0055293634137197345;73:0.005022166326242139","93:68;73:68","93:0.0017662885107350978;73:0.0021150261973271745","0.0811767578125","Yes"
"80","168.21530456590696","38.13111317841262","0.0096435546875","0.017578125","0.001708984375","2584","0.0006453917539057329","36","0.0006453917539057329","0","0.0006453917539057329","0.0006453917539057329","81:0.005605428118610062","81:68","81:0.008759186138240033","0.0096435546875","Yes"
"81","214.75279014866118","228.7982816574549","0.123046875","0.23046875","0.015625","2584","0.000705549185762755","36","0.000705549185762755","0","0.000705549185762755","0.000705549185762755","80:0.005605428118610062;82:0.09323549120560648;76:0.0048095037401196805","80:68;82:68;76:68","80:0.008759186138240033;82:0.09144847675644305;76:0.009487865116509148","0.123046875","Yes"
"82","6.345753700202232","6.440762177221647","0.3072509765625","0.5927734375","0.021728515625","2584","","36","","0","","","81:0.09323549120560648","81:68;83:68","81:0.09144847675644305","0.3072509765625","Yes"
"83","253.66871314286965","250.92170975325496","0.15771484375","0.28076171875","0.03466796875","2584","0.0006163449261933174","36","0.0006163449261933174","0","0.0006163449261933174","0.0006163449261933174","96:0.008599859024874645;84:0.0037711087718047542","96:68;82:68;84:68","96:0.005611833641721492;84:0.003344852105388124","0.15771484375","Yes"
